sample,ct,copyn
G0,37.497,1
G0.5,34.908,5
G1,33.548,10
G2,30.494,100
G3,26.986,1000
G4,23.656,10000
G5,20.387,100000
TS0355,27.117,
TS0622,17.243,
TS0754,23.41,
TS1094,21.85,
TS1202,24.415,
TS1362,27.112,
TS1411,28.375,
TS2315,20.169,
TS2661,21.9,
TS3163,22.294,
TS3410,19.582,
TS3574,23.742,
TS3712,22.165,
TS4038,21.817,
TS4682,26.04,
TS4936,21.425,
TS7053,21.714,
TS7162,31.735,
TS7269,23.878,
TS7475,19.114,
TS7820,19.036,
TS9716,23.22,
TS9794,20.807,
TS9838,23.429,