id,mp,nd,260/280,260/230,gapct,pathquant,hquant,pathrat,pathtot
TS7820,12.71,96.8,2.05,2.07,12.89,20512500.03,18106445.24,1.132883885,211905.992
TS9794,14.24,68.4,2.24,1.76,12.85,7103014.501,18615486.7,0.381564802,103845.2412
TS3163,15.43,46.5,2.07,1.52,14.21,3113271.575,7252263.935,0.429282718,66952.07689
TS1094,16.45,20.3,1.98,1.32,14.35,1535205.123,6581568.44,0.233258248,75625.86811
TS7269,17.27,17.8,1.91,0.91,15.64,869604.5721,2691539.188,0.323088208,48854.18944
TS1362,20.47,26.6,1.94,0.92,14.7,94629.34376,5163793.937,0.018325546,3557.494126
TS1411,21.42,82,2,2.06,13.75,48983.22018,9975792.319,0.004910209,597.3563436
TS7162,24.51,140.9,2.1,2.11,12.95,5752.606211,17368863.24,0.000331202,40.82758134
TS0355,19.43,43.9,2.21,1.73,14.56,194579.4734,5690010.957,0.034196678,4432.334247
TS3017,20.89,43.7,2.11,1.83,13.98,70728.30171,8505708.604,0.008315392,1618.496607
CXS042,22.9,24.1,2.59,1.57,15.89,17559.93641,2263305.655,0.007758535,728.6280668
TS0568,,16.5,2.32,0.55,17.67,,659037.0281,,
TS1394,,42,2.01,1.6,14.51,,5890668.76,,
H2O Ext Ctl,,-0.9,-1.88,-0.06,N/A,,,,